Price,Close,High,Low,Open,Volume
Ticker,ORWE.CA,ORWE.CA,ORWE.CA,ORWE.CA,ORWE.CA
Date,,,,,
2023-07-24,12.936385154724121,13.180797894307275,12.849095604126813,13.093507511247179,336515
2023-07-25,12.805450439453125,13.137152730329253,12.74434767066058,12.936385181855085,1070743
2023-07-26,12.761805534362793,12.875282702141611,12.683244354172626,12.80545072696431,665814
2023-07-27,12.578495979309082,12.78799189797747,12.569766774582204,12.761805116259618,292504
2023-07-30,12.918927192687988,12.953843178379195,12.569766503313156,12.57849570785165,580422
2023-07-31,12.77053451538086,13.041133206330912,12.700702541428408,12.91892766814552,1093006
2023-08-01,12.814180374145508,12.875283146418369,12.657058008343482,12.770535180037964,860762
2023-08-02,12.735618591308594,12.962572924006436,12.735618591308594,12.814179770508831,464941
2023-08-03,13.006217956542969,13.224443095629011,12.65705806699044,12.735619250255468,1174619
2023-08-06,13.355378150939941,13.381564933506134,13.006217442718535,13.006217442718535,3377588
2023-08-07,13.372835159301758,13.591060280478159,13.311732391760453,13.355377582488288,1716696
2023-08-08,13.879117965698242,13.879117965698242,13.311732959429014,13.372835729576,1629927
2023-08-09,13.896575927734375,14.132259460639819,13.617248036109654,13.879117518276438,4146034
2023-08-10,13.713266372680664,13.905304708549616,13.617247620977565,13.896575504086766,940522
2023-08-13,14.053698539733887,14.053698539733887,13.634705862179977,13.71326704125026,508624
2023-08-14,13.914033889770508,14.271923801396992,13.809285927512562,14.053698671910572,595302
2023-08-15,13.791828155517578,14.114801242706807,13.721996181663842,13.91403369353022,198696
2023-08-16,13.730724334716797,13.879117484901284,13.713266757763623,13.791827935209854,310625
2023-08-17,13.486312866210938,13.818015163674586,13.268087736231918,13.730724778697855,706650
2023-08-20,13.486312866210938,13.617248443676035,13.355378121208648,13.486312866210938,525964
2023-08-21,13.879117965698242,13.922763158287292,13.198255791682607,13.486312897322406,1132345
2023-08-22,13.721996307373047,13.940221435780863,13.713267102445663,13.87911783375197,246672
2023-08-23,13.355378150939941,13.922763157163367,13.29427454833508,13.721996436717875,782101
2023-08-24,13.163339614868164,13.512499485635438,13.08477843582983,13.355377960021563,1600184
2023-08-27,13.268087387084961,13.425209742923313,13.180797836868043,13.163339427346989,534041
2023-08-28,13.268087387084961,13.60851888058046,13.180797836868043,13.268087387084961,680932
2023-08-29,13.477582931518555,13.486312136036172,13.180797470084377,13.268087017872277,799920
2023-08-30,13.678351402282715,13.818015354200963,13.425210281315188,13.477583847053122,592342
2023-08-31,13.678351402282715,13.678351402282715,13.678351402282715,13.678351402282715,0
2023-09-03,13.870388984680176,14.018781301032734,13.617247877723926,13.870388984680176,346195
2023-09-04,14.411587715148926,14.56871007437557,13.61724837899254,13.870389495267244,1840784
2023-09-05,14.664727210998535,14.839307970742178,14.455231298261472,14.411586940788318,2459441
2023-09-06,14.429045677185059,14.856766716845161,14.14098858251905,14.66472754378412,1103063
2023-09-07,14.533793449401855,14.533793449401855,14.140989210995421,14.429046318463724,266906
2023-09-10,14.533793449401855,14.533793449401855,14.533793449401855,14.533793449401855,0
2023-09-11,14.184633255004883,14.577439149575255,14.13225969070403,14.31556799821981,442968
2023-09-12,14.193363189697266,14.402859122598526,14.123531212063511,14.184633984377337,209771
2023-09-13,14.359213829040527,14.385399778375223,14.132259500228288,14.193362268576667,192405
2023-09-14,14.306838989257812,14.446502939256286,14.219550269202976,14.35921421920145,348925
2023-09-17,14.40285873413086,14.568710300884876,14.298109938042629,14.306839143127117,933300
2023-09-18,14.411587715148926,14.481419689813478,14.271923765819821,14.402858510200156,322434
2023-09-19,13.730724334716797,14.481419290347208,13.52995762121001,14.411587317608953,2011584
2023-09-20,13.730724334716797,13.730724334716797,13.730724334716797,13.730724334716797,0
2023-09-21,13.730724334716797,13.730724334716797,13.730724334716797,13.730724334716797,0
2023-09-24,13.730724334716797,13.730724334716797,13.730724334716797,13.730724334716797,0
2023-09-25,13.660892486572266,13.82674404768535,13.617248127559884,13.68708010093504,197321
2023-09-26,13.5997896194458,13.748182769908503,13.556144428286869,13.660892387590637,207258
2023-09-27,13.5997896194458,13.5997896194458,13.5997896194458,13.5997896194458,0
2023-10-01,13.5997896194458,13.5997896194458,13.5997896194458,13.5997896194458,0
2023-10-02,13.521227836608887,13.704536965300811,13.163338783558642,13.224441548968368,926854
2023-10-03,13.416481018066406,13.660892932864218,13.31173305458163,13.521228981551184,641206
2023-10-04,13.206984519958496,13.364106874622285,13.137152547321874,13.416480437868362,354602
2023-10-08,12.787992477416992,13.206985166201619,12.657057730432133,13.206985166201619,439999
